0	0.987688
0.1	0.0148817
0.2	0.000224227
0.3	3.37843e-06
0.4	5.8627e-08
0.5	-1.20133e-06
0.6	0.000185034
0.7	-0.0284281
0.8	4.38041
0.9	-678.663
1	105833
1.1	-1.66129e+07
1.2	2.6236e+09
1.3	-4.16488e+11
1.4	6.63948e+13
1.5	-1.06188e+16
1.6	1.70232e+18
1.7	-2.73342e+20
1.8	4.39343e+22
1.9	-7.06509e+24
2	1.13628e+27
2.1	-1.82717e+29
2.2	2.93707e+31
2.3	-4.71874e+33
2.4	7.57659e+35
2.5	-1.21571e+38
2.6	1.94933e+40
2.7	-3.12345e+42
2.8	5.00126e+44
2.9	-8.00253e+46
3	1.27964e+49
3.1	-2.04493e+51
3.2	3.26593e+53
3.3	-5.21303e+55
3.4	8.31656e+57
3.5	-1.32611e+60
3.6	2.11356e+62
3.7	-3.36714e+64
3.8	5.36205e+66
3.9	-8.53565e+68
4	1.35828e+71
4.1	-2.16074e+73
4.2	3.43622e+75
4.3	-5.46308e+77
4.4	8.68321e+79
4.5	-1.3798e+82
4.6	2.19206e+84
4.7	-3.48174e+86
4.8	5.5291e+88
4.9	-8.77874e+90
5	1.39359e+93
